,产品1,产品2,关联度
0,ID373,ID508,5
1,ID508,ID373,5
2,ID96,ID371,114
3,ID371,ID96,114
4,ID40,ID78,10
5,ID40,ID364,33
6,ID40,ID451,37
7,ID40,ID454,39
8,ID40,ID487,41
9,ID78,ID40,10
10,ID78,ID364,10
11,ID78,ID451,10
12,ID78,ID454,10
13,ID78,ID487,10
14,ID364,ID40,33
15,ID364,ID78,10
16,ID364,ID451,61
17,ID364,ID454,68
18,ID364,ID487,70
19,ID451,ID40,37
20,ID451,ID78,10
21,ID451,ID364,61
22,ID451,ID454,58
23,ID451,ID487,68
24,ID454,ID40,39
25,ID454,ID78,10
26,ID454,ID364,68
27,ID454,ID451,58
28,ID454,ID487,1135
29,ID487,ID40,41
30,ID487,ID78,10
31,ID487,ID364,70
32,ID487,ID451,68
33,ID487,ID454,1135
34,ID191,ID371,20
35,ID371,ID191,20
36,ID96,ID341,17
37,ID341,ID96,17
38,ID341,ID371,55
39,ID371,ID341,55
40,ID457,ID465,2
41,ID465,ID457,2
42,ID97,ID403,67
43,ID403,ID97,67
44,ID246,ID487,96
45,ID487,ID246,96
46,ID394,ID395,82
47,ID394,ID508,6
48,ID395,ID394,82
49,ID395,ID508,3
50,ID508,ID394,6
51,ID508,ID395,3
52,ID191,ID341,11
53,ID341,ID191,11
54,ID113,ID191,1
55,ID113,ID428,3
56,ID191,ID113,1
57,ID191,ID428,3
58,ID428,ID113,3
59,ID428,ID191,3
60,ID42,ID457,1
61,ID457,ID42,1
62,ID246,ID373,4
63,ID373,ID246,4
64,ID373,ID487,148
65,ID487,ID373,148
66,ID415,ID508,1
67,ID508,ID415,1
68,ID246,ID394,7
69,ID246,ID395,4
70,ID394,ID246,7
71,ID394,ID487,109
72,ID395,ID246,4
73,ID395,ID487,123
74,ID487,ID394,109
75,ID487,ID395,123
76,ID341,ID508,7
77,ID508,ID341,7
78,ID175,ID234,2
79,ID234,ID175,2
80,ID40,ID149,20
81,ID78,ID149,7
82,ID149,ID40,20
83,ID149,ID78,7
84,ID149,ID364,49
85,ID149,ID451,35
86,ID149,ID454,75
87,ID149,ID487,79
88,ID364,ID149,49
89,ID451,ID149,35
90,ID454,ID149,75
91,ID487,ID149,79
92,ID33,ID321,1
93,ID321,ID33,1
94,ID263,ID341,7
95,ID341,ID263,7
96,ID113,ID263,1
97,ID263,ID113,1
98,ID269,ID349,83
99,ID349,ID269,83
100,ID178,ID392,4
101,ID392,ID178,4
102,ID16,ID341,2
103,ID16,ID371,6
104,ID341,ID16,2
105,ID371,ID16,6
106,ID178,ID394,2
107,ID394,ID178,2
108,ID263,ID392,5
109,ID392,ID263,5
110,ID97,ID373,33
111,ID373,ID97,33
112,ID373,ID403,2
113,ID403,ID373,2
114,ID321,ID371,1
115,ID371,ID321,1
116,ID178,ID395,2
117,ID395,ID178,2
118,ID246,ID415,1
119,ID415,ID246,1
120,ID415,ID487,59
121,ID487,ID415,59
122,ID321,ID373,2
123,ID373,ID321,2
124,ID191,ID415,3
125,ID415,ID191,3
126,ID341,ID483,4
127,ID483,ID341,4
128,ID373,ID394,85
129,ID394,ID373,85
130,ID191,ID395,5
131,ID395,ID191,5
132,ID7,ID269,27
133,ID7,ID349,2
134,ID7,ID373,30
135,ID7,ID395,58
136,ID269,ID7,27
137,ID269,ID373,16
138,ID269,ID395,19
139,ID349,ID7,2
140,ID349,ID373,5
141,ID349,ID395,5
142,ID373,ID7,30
143,ID373,ID269,16
144,ID373,ID349,5
145,ID373,ID395,63
146,ID395,ID7,58
147,ID395,ID269,19
148,ID395,ID349,5
149,ID395,ID373,63
150,ID269,ID341,18
151,ID341,ID269,18
152,ID341,ID349,5
153,ID349,ID341,5
154,ID191,ID271,1
155,ID191,ID373,12
156,ID191,ID394,6
157,ID271,ID191,1
158,ID271,ID341,6
