语料ID,产品ID,产品名称
餐饮评论-1001,ID1,盛香烧鹅（东方市场店）
餐饮评论-1002,ID2,清香面包店（车田街店）
餐饮评论-1003,ID3,功夫鸡排（光华北路店）
餐饮评论-1004,ID4,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1005,ID5,清香面包店（车田街店）
餐饮评论-1006,ID6,优之品西点
餐饮评论-1007,ID7,优之品西点
餐饮评论-1008,ID8,清香面包店（车田街店）
餐饮评论-1009,ID9,旺角亭（为民店）
餐饮评论-1010,ID10,盛香烧鹅（东方市场店）
餐饮评论-1011,ID11,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1012,ID12,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1013,ID13,清香面包店（车田街店）
餐饮评论-1014,ID14,功夫鸡排（光华北路店）
餐饮评论-1015,ID15,鲜饮时光（高州店）
餐饮评论-1016,ID16,喜相逢渝洲川菜酒楼（东方大道店）
餐饮评论-1017,ID17,喜相逢渝洲川菜酒楼（东方大道店）
餐饮评论-1018,ID18,驰名湘菜馆
餐饮评论-1019,ID19,甜在心扉千层蛋糕（茂名店）
餐饮评论-1020,ID20,果之度（迎宾三路店）
餐饮评论-1021,ID21,旺角亭（为民店）
餐饮评论-1022,ID22,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1023,ID23,小乔紫菜卷（小乔店）
餐饮评论-1024,ID24,清香面包店（车田街店）
餐饮评论-1025,ID25,甜在心扉千层蛋糕（茂名店）
餐饮评论-1026,ID26,盛香烧鹅（东方市场店）
餐饮评论-1027,ID27,盛香烧鹅（东方市场店）
餐饮评论-1028,ID28,优之品西点
餐饮评论-1029,ID29,优之品西点
餐饮评论-1030,ID30,优之品西点
餐饮评论-1031,ID31,优之品西点
餐饮评论-1032,ID32,旺角亭（为民店）
餐饮评论-1033,ID33,旺角亭（为民店）
餐饮评论-1034,ID34,旺角亭（为民店）
餐饮评论-1035,ID35,旺角亭（为民店）
餐饮评论-1036,ID36,旺角亭（为民店）
餐饮评论-1037,ID37,甜在心扉千层蛋糕（茂名店）
餐饮评论-1038,ID38,甜在心扉千层蛋糕（茂名店）
餐饮评论-1039,ID39,优之品西点
餐饮评论-1040,ID40,优之品西点
餐饮评论-1041,ID41,小乔紫菜卷（小乔店）
餐饮评论-1042,ID42,旺角亭（为民店）
餐饮评论-1043,ID43,驰名湘菜馆
餐饮评论-1044,ID44,甜在心扉千层蛋糕（茂名店）
餐饮评论-1045,ID45,甜在心扉千层蛋糕（茂名店）
餐饮评论-1046,ID46,甜在心扉千层蛋糕（茂名店）
餐饮评论-1047,ID47,盛香烧鹅（东方市场店）
餐饮评论-1048,ID48,甜在心扉千层蛋糕（茂名店）
餐饮评论-1049,ID49,优之品西点
餐饮评论-1050,ID50,甜在心扉千层蛋糕（茂名店）
餐饮评论-1051,ID51,盛香烧鹅（东方市场店）
餐饮评论-1052,ID52,优之品西点
餐饮评论-1053,ID53,爱可咖啡馆（茂南店）
餐饮评论-1054,ID54,盛香烧鹅（东方市场店）
餐饮评论-1055,ID55,盛香烧鹅（东方市场店）
餐饮评论-1056,ID56,盛香烧鹅（东方市场店）
餐饮评论-1057,ID57,盛香烧鹅（东方市场店）
餐饮评论-1058,ID58,优之品西点
餐饮评论-1059,ID59,盛香烧鹅（东方市场店）
餐饮评论-1060,ID60,优之品西点
餐饮评论-1061,ID61,功夫鸡排（光华北路店）
餐饮评论-1062,ID62,盛香烧鹅（东方市场店）
餐饮评论-1063,ID63,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1064,ID64,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1065,ID65,旺角亭（为民店）
餐饮评论-1066,ID66,旺角亭（为民店）
餐饮评论-1067,ID67,旺角亭（为民店）
餐饮评论-1068,ID68,旺角亭（为民店）
餐饮评论-1069,ID69,甜在心扉千层蛋糕（茂名店）
餐饮评论-1070,ID70,爱丽丝音乐餐吧
餐饮评论-1071,ID71,丰年面包店（茂南区店）
餐饮评论-1072,ID72,尊霸披萨
餐饮评论-1073,ID73,果之度（迎宾三路店）
餐饮评论-1074,ID74,甜在心扉千层蛋糕（茂名店）
餐饮评论-1075,ID75,小乔紫菜卷（小乔店）
餐饮评论-1076,ID76,驰名湘菜馆
餐饮评论-1077,ID77,清香面包店（车田街店）
餐饮评论-1078,ID78,丰年面包店（茂南区店）
餐饮评论-1079,ID79,优之品西点
餐饮评论-1080,ID80,优之品西点
餐饮评论-1081,ID81,小乔紫菜卷（小乔店）
餐饮评论-1082,ID82,甜在心扉千层蛋糕（茂名店）
餐饮评论-1083,ID83,爱可咖啡馆（茂南店）
餐饮评论-1084,ID84,小乔紫菜卷（小乔店）
餐饮评论-1085,ID85,小乔紫菜卷（小乔店）
餐饮评论-1086,ID86,甜在心扉千层蛋糕（茂名店）
餐饮评论-1087,ID87,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1088,ID88,旺角亭（为民店）
餐饮评论-1089,ID89,旺角亭（为民店）
餐饮评论-1090,ID90,功夫鸡排（光华北路店）
餐饮评论-1091,ID91,功夫鸡排（光华北路店）
餐饮评论-1092,ID92,甜在心扉千层蛋糕（茂名店）
餐饮评论-1093,ID93,爱可咖啡馆（茂南店）
餐饮评论-1094,ID94,丰年面包店（茂南区店）
餐饮评论-1095,ID95,甜在心扉千层蛋糕（茂名店）
餐饮评论-1096,ID96,爱可咖啡馆（茂南店）
餐饮评论-1097,ID97,小乔紫菜卷（小乔店）
餐饮评论-1098,ID98,爱可咖啡馆（茂南店）
餐饮评论-1099,ID99,爱丽丝音乐餐吧
餐饮评论-1100,ID100,果之度（迎宾三路店）
餐饮评论-1101,ID101,瀛食精致料理
餐饮评论-1102,ID102,盛香烧鹅（东方市场店）
餐饮评论-1103,ID103,盛香烧鹅（东方市场店）
餐饮评论-1104,ID104,小乔紫菜卷（小乔店）
餐饮评论-1105,ID105,鲜饮时光（高州店）
餐饮评论-1106,ID106,鲜饮时光（高州店）
餐饮评论-1107,ID107,鲜饮时光（高州店）
餐饮评论-1108,ID108,优乐堡（开发区店）
餐饮评论-1109,ID109,优乐堡（开发区店）
餐饮评论-1110,ID110,盛香烧鹅（东方市场店）
餐饮评论-1111,ID111,优乐堡（开发区店）
餐饮评论-1112,ID112,优乐堡（开发区店）
餐饮评论-1113,ID113,爱丽丝音乐餐吧
餐饮评论-1114,ID114,清香面包店（车田街店）
餐饮评论-1115,ID115,鲜饮时光（高州店）
餐饮评论-1116,ID116,优乐堡（开发区店）
餐饮评论-1117,ID117,尊霸披萨
餐饮评论-1118,ID118,鲜饮时光（高州店）
餐饮评论-1119,ID119,甜在心扉千层蛋糕（茂名店）
餐饮评论-1120,ID120,瀛食精致料理
餐饮评论-1121,ID121,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1122,ID122,旺角亭（为民店）
餐饮评论-1123,ID123,驰名湘菜馆
餐饮评论-1124,ID124,爱可咖啡馆（茂南店）
餐饮评论-1125,ID125,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1126,ID126,茂香面包坊总店
餐饮评论-1127,ID127,优之品西点
餐饮评论-1128,ID128,优之品西点
餐饮评论-1129,ID129,甜在心扉千层蛋糕（茂名店）
餐饮评论-1130,ID130,果之度（迎宾三路店）
餐饮评论-1131,ID131,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1132,ID132,优乐堡（开发区店）
餐饮评论-1133,ID133,小乔紫菜卷（小乔店）
餐饮评论-1134,ID134,优之品西点
餐饮评论-1135,ID135,小乔紫菜卷（小乔店）
餐饮评论-1136,ID136,尊霸披萨
餐饮评论-1137,ID137,优之品西点
餐饮评论-1138,ID138,清香面包店（车田街店）
餐饮评论-1139,ID139,功夫鸡排（光华北路店）
餐饮评论-1140,ID140,果之度（迎宾三路店）
餐饮评论-1141,ID141,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1142,ID142,优之品西点
餐饮评论-1143,ID143,小乔紫菜卷（小乔店）
餐饮评论-1144,ID144,小乔紫菜卷（小乔店）
餐饮评论-1145,ID145,甜在心扉千层蛋糕（茂名店）
餐饮评论-1146,ID146,优之品西点
餐饮评论-1147,ID147,优之品西点
餐饮评论-1148,ID148,小乔紫菜卷（小乔店）
餐饮评论-1149,ID149,优之品西点
餐饮评论-1150,ID150,旺角亭（为民店）
餐饮评论-1151,ID151,甜在心扉千层蛋糕（茂名店）
餐饮评论-1152,ID152,盛香烧鹅（东方市场店）
餐饮评论-1153,ID153,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1154,ID154,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1155,ID155,小乔紫菜卷（小乔店）
餐饮评论-1156,ID156,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1157,ID157,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1158,ID158,小乔紫菜卷（小乔店）
餐饮评论-1159,ID159,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1160,ID160,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1161,ID161,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1162,ID162,果之度（迎宾三路店）
餐饮评论-1163,ID163,盛香烧鹅（东方市场店）
餐饮评论-1164,ID164,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1165,ID165,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1166,ID166,优之品西点
餐饮评论-1167,ID167,甜在心扉千层蛋糕（茂名店）
餐饮评论-1168,ID168,优之品西点
餐饮评论-1169,ID169,优之品西点
餐饮评论-1170,ID170,小乔紫菜卷（小乔店）
餐饮评论-1171,ID171,小乔紫菜卷（小乔店）
餐饮评论-1172,ID172,优之品西点
餐饮评论-1173,ID173,小乔紫菜卷（小乔店）
餐饮评论-1174,ID174,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1175,ID175,优乐堡（开发区店）
餐饮评论-1176,ID176,旺角亭（为民店）
餐饮评论-1177,ID177,旺角亭（为民店）
餐饮评论-1178,ID178,清香面包店（车田街店）
餐饮评论-1179,ID179,盛香烧鹅（东方市场店）
餐饮评论-1180,ID180,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1181,ID181,果之度（为民店）
餐饮评论-1182,ID182,优之品西点
餐饮评论-1183,ID183,小乔紫菜卷（小乔店）
餐饮评论-1184,ID184,爱可咖啡馆（茂南店）
餐饮评论-1185,ID185,甜在心扉千层蛋糕（茂名店）
餐饮评论-1186,ID186,果之度（迎宾三路店）
餐饮评论-1187,ID187,旺角亭（为民店）
餐饮评论-1188,ID188,爱可咖啡馆（茂南店）
餐饮评论-1189,ID189,优之品西点
餐饮评论-1190,ID190,优之品西点
餐饮评论-1191,ID191,小乔紫菜卷（小乔店）
餐饮评论-1192,ID192,旺角亭（为民店）
餐饮评论-1193,ID193,甜在心扉千层蛋糕（茂名店）
餐饮评论-1194,ID194,盛香烧鹅（东方市场店）
餐饮评论-1195,ID195,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1196,ID196,优乐堡（开发区店）
餐饮评论-1197,ID197,小乔紫菜卷（小乔店）
餐饮评论-1198,ID198,瀛食精致料理
餐饮评论-1199,ID199,优之品西点
餐饮评论-1200,ID200,小乔紫菜卷（小乔店）
餐饮评论-1201,ID201,旺角亭（为民店）
餐饮评论-1202,ID202,丰年面包店（茂南区店）
餐饮评论-1203,ID203,爱可咖啡馆（茂南店）
餐饮评论-1204,ID204,爱可咖啡馆（茂南店）
餐饮评论-1205,ID205,小乔紫菜卷（小乔店）
餐饮评论-1206,ID206,小乔紫菜卷（小乔店）
餐饮评论-1207,ID207,清香面包店（车田街店）
餐饮评论-1208,ID208,甜在心扉千层蛋糕（茂名店）
餐饮评论-1209,ID209,丰年面包店（茂南区店）
餐饮评论-1210,ID210,爱可咖啡馆（茂南店）
餐饮评论-1211,ID211,丰年面包店（茂南区店）
餐饮评论-1212,ID212,甜在心扉千层蛋糕（茂名店）
餐饮评论-1213,ID213,甜在心扉千层蛋糕（茂名店）
餐饮评论-1214,ID214,优乐堡（开发区店）
餐饮评论-1215,ID215,优之品西点
餐饮评论-1216,ID216,尊霸披萨
餐饮评论-1217,ID217,尊霸披萨
餐饮评论-1218,ID218,小乔紫菜卷（小乔店）
餐饮评论-1219,ID219,小乔紫菜卷（小乔店）
餐饮评论-1220,ID220,果之度（为民店）
餐饮评论-1221,ID221,果之度（迎宾三路店）
餐饮评论-1222,ID222,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1223,ID223,小乔紫菜卷（小乔店）
餐饮评论-1224,ID224,爱可咖啡馆（茂南店）
餐饮评论-1225,ID225,优乐堡（开发区店）
餐饮评论-1226,ID226,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1227,ID227,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1228,ID228,爱可咖啡馆（茂南店）
餐饮评论-1229,ID229,渔乐码头烤鱼牛蛙晚饭餐厅
